scientific.name,original_scientific,genus,species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,maximum_longevity_y,weaning_d,incubation_d,fledging_age_d,longevity_y,male_maturity_d
Centronyx bairdii,Ammodramus bairdii,Ammodramus,bairdii,-999,4.35,1.5,4.6,-999,11.5,13,4.591666667,-999
Ammospiza leconteii,Ammodramus leconteii,Ammodramus,leconteii,-999,4,-999,4.083333333,-999,12.5,-999,4.083333333,-999
Rhynchophanes mccownii,Calcarius mccownii,Calcarius,mccownii,-999,3.5,2,-999,-999,12,12,-999,-999
Dryobates scalaris,Picoides scalaris,Picoides,scalaris,-999,4,-999,4.5,-999,-999,-999,4.5,-999
Uria aalge,,Uria,aalge,1825,1,1,42.83333333,-999,31.7,60,29.58333333,1825
Cyrtodactylus aaroni,,Cyrtodactylus,aaroni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Farancia abacura,,Farancia,abacura,-999,37.5,-999,19,-999,57,-999,18,-999
Hipposideros abae,,Hipposideros,abae,-999,1.5,1,-999,-999,-999,-999,-999,-999
Ameivula abaetensis,,Ameivula,abaetensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Liolaemus abaucan,,Liolaemus,abaucan,-999,-999,-999,-999,-999,-999,-999,-999,-999
Thraupis abbas,,Thraupis,abbas,-999,2,-999,-999,-999,-999,-999,-999,-999
Sula abbotti,,Sula,abbotti,-999,1,0.5,-999,-999,57,168,-999,-999
Malacocincla abbotti,,Malacocincla,abbotti,-999,3.9,-999,-999,-999,-999,-999,-999,-999
Phelsuma abbotti,,Phelsuma,abbotti,-999,2,-999,13.6,-999,55,-999,10,-999
Cinnyris abbotti,,Cinnyris,abbotti,-999,1.85,-999,-999,-999,-999,-999,-999,-999
Papasula abbotti,,Papasula,abbotti,-999,1,-999,-999,-999,-999,-999,-999,-999
Gonocephalus abbotti,,Gonocephalus,abbotti,-999,-999,-999,-999,-999,-999,-999,-999,-999
Microtus abbreviatus,,Microtus,abbreviatus,-999,2.785,4.56,-999,15.049,-999,-999,-999,-999
Liolaemus abdalai,,Liolaemus,abdalai,-999,1.85,1,-999,-999,-999,-999,-999,-999
Pristurus abdelkuri,,Pristurus,abdelkuri,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pinoyscincus abdictus,,Pinoyscincus,abdictus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ciconia abdimii,,Ciconia,abdimii,-999,2.25,1,21.6,-999,30.5,55,21.6,-999
Myotis abei,,Myotis,abei,730,-999,-999,28,-999,-999,-999,15,730
Icterus abeillei,,Icterus,abeillei,365.25,4.5,1,14,-999,13,13,11.6,-999
Abeillia abeillei,,Abeillia,abeillei,-999,2,-999,-999,-999,-999,-999,-999,-999
Orchesticus abeillei,,Orchesticus,abeillei,-999,2,-999,-999,-999,-999,-999,-999,-999
Arremon abeillei,,Arremon,abeillei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Coccothraustes abeillei,,Coccothraustes,abeillei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Hesperiphona abeillei,,Hesperiphona,abeillei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pongo abelii,,Pongo,abelii,2936.81,1.14,0.22,60,1088.8,-999,-999,59,2555
Cisticola aberdare,,Cisticola,aberdare,-999,2,-999,-999,-999,-999,-999,-999,-999
Cisticola aberrans,,Cisticola,aberrans,-999,2.7,-999,-999,-999,-999,-999,-999,-999
Sciurus aberti,,Sciurus,aberti,356.5085,3.255,1.5,6.983333333,70,-999,-999,6.983333333,-999
Melozone aberti,,Melozone,aberti,365,3,1.5,8.6,-999,14,12.5,8.6,365
