Seq,AOU,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Genus,Species
128,10,Western Grebe,GrËbe ÈlÈgant,Aechmophorus occidentalis,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis
129,11,Clark's Grebe,GrËbe ‡ face blanche,Aechmophorus clarkii,Podicipediformes,Podicipedidae,Aechmophorus,clarkii
130,12,unid. Western Grebe / Clark's Grebe,unid GrËbe ÈlÈgant / GrËbe ‡ face blanche,Aechmophorus occidentalis / clarkii,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis / clarkii
126,20,Red-necked Grebe,GrËbe jougris,Podiceps grisegena,Podicipediformes,Podicipedidae,Podiceps,grisegena
125,30,Horned Grebe,GrËbe esclavon,Podiceps auritus,Podicipediformes,Podicipedidae,Podiceps,auritus
127,40,Eared Grebe,GrËbe ‡ cou noir,Podiceps nigricollis,Podicipediformes,Podicipedidae,Podiceps,nigricollis
123,50,Least Grebe,GrËbe minime,Tachybaptus dominicus,Podicipediformes,Podicipedidae,Tachybaptus,dominicus
124,60,Pied-billed Grebe,GrËbe ‡ bec bigarrÈ,Podilymbus podiceps,Podicipediformes,Podicipedidae,Podilymbus,podiceps
487,70,Common Loon,Plongeon huard,Gavia immer,Gaviiformes,Gaviidae,Gavia,immer
489,77,unid. loon,plongeon sp.,Gavia sp.,Gaviiformes,Gaviidae,Gavia,sp.
488,80,Yellow-billed Loon,Plongeon ‡ bec blanc,Gavia adamsii,Gaviiformes,Gaviidae,Gavia,adamsii
485,90,Arctic Loon,Plongeon arctique,Gavia arctica,Gaviiformes,Gaviidae,Gavia,arctica
486,100,Pacific Loon,Plongeon du Pacifique,Gavia pacifica,Gaviiformes,Gaviidae,Gavia,pacifica
484,110,Red-throated Loon,Plongeon catmarin,Gavia stellata,Gaviiformes,Gaviidae,Gavia,stellata
424,120,Tufted Puffin,Macareux huppÈ,Fratercula cirrhata,Charadriiformes,Alcidae,Fratercula,cirrhata
423,140,Horned Puffin,Macareux cornu,Fratercula corniculata,Charadriiformes,Alcidae,Fratercula,corniculata
421,150,Rhinoceros Auklet,Macareux rhinocÈros,Cerorhinca monocerata,Charadriiformes,Alcidae,Cerorhinca,monocerata
416,160,Cassin's Auklet,Starique de Cassin,Ptychoramphus aleuticus,Charadriiformes,Alcidae,Ptychoramphus,aleuticus
415,210,Ancient Murrelet,Guillemot ‡ cou blanc,Synthliboramphus antiquus,Charadriiformes,Alcidae,Synthliboramphus,antiquus
410,230,Marbled Murrelet,Guillemot marbrÈ,Brachyramphus marmoratus,Charadriiformes,Alcidae,Brachyramphus,marmoratus
411,240,Kittlitz's Murrelet,Guillemot de Kittlitz,Brachyramphus brevirostris,Charadriiformes,Alcidae,Brachyramphus,brevirostris
407,270,Black Guillemot,Guillemot ‡ miroir,Cepphus grylle,Charadriiformes,Alcidae,Cepphus,grylle
408,290,Pigeon Guillemot,Guillemot colombin,Cepphus columba,Charadriiformes,Alcidae,Cepphus,columba
403,300,Common Murre,Guillemot marmette,Uria aalge,Charadriiformes,Alcidae,Uria,aalge
404,310,Thick-billed Murre,Guillemot de Br¸nnich,Uria lomvia,Charadriiformes,Alcidae,Uria,lomvia
405,315,unid. Common Murre / Thick-billed Murre,unid Guillemot marmette / Guillemot de Br¸nnich,Uria aalge / lomvia,Charadriiformes,Laridae,Uria,aalge / lomvia
406,320,Razorbill,Petit Pingouin,Alca torda,Charadriiformes,Alcidae,Alca,torda
399,360,Pomarine Jaeger,Labbe pomarin,Stercorarius pomarinus,Charadriiformes,Stercorariidae,Stercorarius,pomarinus
400,370,Parasitic Jaeger,Labbe parasite,Stercorarius parasiticus,Charadriiformes,Stercorariidae,Stercorarius,parasiticus
401,380,Long-tailed Jaeger,Labbe ‡ longue queue,Stercorarius longicaudus,Charadriiformes,Stercorariidae,Stercorarius,longicaudus
426,400,Black-legged Kittiwake,Mouette tridactyle,Rissa tridactyla,Charadriiformes,Laridae,Rissa,tridactyla
453,420,Glaucous Gull,GoÈland bourgmestre,Larus hyperboreus,Charadriiformes,Laridae,Larus,hyperboreus
448,430,Iceland Gull,GoÈland arctique,Larus glaucoides,Charadriiformes,Laridae,Larus,glaucoides
451,440,Glaucous-winged Gull,GoÈland ‡ ailes grises,Larus glaucescens,Charadriiformes,Laridae,Larus,glaucescens
454,470,Great Black-backed Gull,GoÈland marin,Larus marinus,Charadriiformes,Laridae,Larus,marinus
450,480,Slaty-backed Gull,GoÈland ‡ manteau ardoisÈ,Larus schistisagus,Charadriiformes,Laridae,Larus,schistisagus
443,490,Western Gull,GoÈland d'Audubon,Larus occidentalis,Charadriiformes,Laridae,Larus,occidentalis
452,495,hybrid Western Gull x Glaucous-winged Gull,hybride GoÈland ‡ ailes grises x d'Audubon,Larus occidentalis x glaucescens,Charadriiformes,Laridae,Larus,occidentalis x glaucescens
449,500,Lesser Black-backed Gull,GoÈland brun,Larus fuscus,Charadriiformes,Laridae,Larus,fuscus
446,510,Herring Gull,GoÈland argentÈ,Larus argentatus,Charadriiformes,Laridae,Larus,argentatus
445,530,California Gull,GoÈland de Californie,Larus californicus,Charadriiformes,Laridae,Larus,californicus
456,534,unid. gull,unid GoÈland sp.,Gull sp.,Charadriiformes,Laridae,Gull,sp.
442,540,Ring-billed Gull,GoÈland ‡ bec cerclÈ,Larus delawarensis,Charadriiformes,Laridae,Larus,delawarensis
441,550,Mew Gull,GoÈland cendrÈ,Larus canus,Charadriiformes,Laridae,Larus,canus
432,551,Black-headed Gull,Mouette rieuse,Chroicocephalus ridibundus,Charadriiformes,Laridae,Chroicocephalus,ridibundus
440,570,Heermann's Gull,GoÈland de Heermann,Larus heermanni,Charadriiformes,Laridae,Larus,heermanni
436,580,Laughing Gull,Mouette atricille,Leucophaeus atricilla,Charadriiformes,Laridae,Leucophaeus,atricilla
437,590,Franklin's Gull,Mouette de Franklin,Leucophaeus pipixcan,Charadriiformes,Laridae,Leucophaeus,pipixcan
430,600,Bonaparte's Gull,Mouette de Bonaparte,Chroicocephalus philadelphia,Charadriiformes,Laridae,Chroicocephalus,philadelphia
433,601,Little Gull,Mouette pygmÈe,Hydrocoloeus minutus,Charadriiformes,Laridae,Hydrocoloeus,minutus
434,610,Ross's Gull,Mouette rosÈe,Rhodostethia rosea,Charadriiformes,Laridae,Rhodostethia,rosea
429,620,Sabine's Gull,Mouette de Sabine,Xema sabini,Charadriiformes,Laridae,Xema,sabini
466,630,Gull-billed Tern,Sterne hansel,Gelochelidon nilotica,Charadriiformes,Laridae,Gelochelidon,nilotica
478,634,unid. tern,unid Sterne sp.,Tern sp.,Charadriiformes,Laridae,Tern,sp.
467,640,Caspian Tern,Sterne caspienne,Hydroprogne caspia,Charadriiformes,Laridae,Hydroprogne,caspia
475,650,Royal Tern,Sterne royale,Thalasseus maximus,Charadriiformes,Laridae,Thalasseus,maximus
477,660,Elegant Tern,Sterne ÈlÈgante,Thalasseus elegans,Charadriiformes,Laridae,Thalasseus,elegans
476,670,Sandwich Tern,Sterne caugek,Thalasseus sandvicensis,Charadriiformes,Laridae,Thalasseus,sandvicensis
474,690,Forster's Tern,Sterne de Forster,Sterna forsteri,Charadriiformes,Laridae,Sterna,forsteri
472,700,Common Tern,Sterne pierregarin,Sterna hirundo,Charadriiformes,Laridae,Sterna,hirundo
473,710,Arctic Tern,Sterne arctique,Sterna paradisaea,Charadriiformes,Laridae,Sterna,paradisaea
471,720,Roseate Tern,Sterne de Dougall,Sterna dougallii,Charadriiformes,Laridae,Sterna,dougallii
463,730,Aleutian Tern,Sterne des AlÈoutiennes,Onychoprion aleuticus,Charadriiformes,Laridae,Onychoprion,aleuticus
464,740,Least Tern,Petite Sterne,Sternula antillarum,Charadriiformes,Laridae,Sternula,antillarum
468,770,Black Tern,Guifette noire,Chlidonias niger,Charadriiformes,Laridae,Chlidonias,niger
479,800,Black Skimmer,Bec-en-ciseaux noir,Rynchops niger,Charadriiformes,Laridae,Rynchops,niger
516,860,Northern Fulmar,Fulmar borÈal,Fulmarus glacialis,Procellariiformes,Procellariidae,Fulmarus,glacialis
538,880,Cory's Shearwater,Puffin cendrÈ,Calonectris diomedea,Procellariiformes,Procellariidae,Calonectris,diomedea
549,900,Manx Shearwater,Puffin des Anglais,Puffinus puffinus,Procellariiformes,Procellariidae,Puffinus,puffinus
506,1060,Leach's Storm-Petrel,OcÈanite cul-blanc,Hydrobates leucorhous,Procellariiformes,Hydrobatidae,Hydrobates,leucorhous
560,1140,Masked Booby,Fou masquÈ,Sula dactylatra,Suliformes,Sulidae,Sula,dactylatra
562,1141,Blue-footed Booby,Fou ‡ pieds bleus,Sula nebouxii,Suliformes,Sulidae,Sula,nebouxii
563,1150,Brown Booby,Fou brun,Sula leucogaster,Suliformes,Sulidae,Sula,leucogaster
565,1170,Northern Gannet,Fou de Bassan,Morus bassanus,Suliformes,Sulidae,Morus,bassanus
575,1180,Anhinga,Anhinga d'AmÈrique,Anhinga anhinga,Suliformes,Anhingidae,Anhinga,anhinga
570,1190,Great Cormorant,Grand Cormoran,Phalacrocorax carbo,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo
568,1200,Double-crested Cormorant,Cormoran ‡ aigrettes,Phalacrocorax auritus,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus
569,1205,unid. Neotropic / Double-crested Cormorant,Cormoran vigua / Cormoran ‡ aigrettes,Phalacrocorax brasilianus / auritus,Suliformes,Phalacrocoracidae,Phalacrocorax,brasilianus / auritus
571,1206,unid. Double-crested Cormorant / Great Cormorant,Cormoran ‡ aigrettes / Grand Cormoran,Phalacrocorax auritus / carbo,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus / carbo
574,1207,unid. west coast cormorant,unid Cormoran de la cÙte ouest,Phalacrocorax sp.,Suliformes,Phalacrocoracidae,Phalacrocorax,sp.
567,1210,Neotropic Cormorant,Cormoran vigua,Phalacrocorax brasilianus,Suliformes,Phalacrocoracidae,Phalacrocorax,brasilianus
566,1220,Brandt's Cormorant,Cormoran de Brandt,Phalacrocorax penicillatus,Suliformes,Phalacrocoracidae,Phalacrocorax,penicillatus
573,1230,Pelagic Cormorant,Cormoran pÈlagique,Phalacrocorax pelagicus,Suliformes,Phalacrocoracidae,Phalacrocorax,pelagicus
576,1250,American White Pelican,PÈlican d'AmÈrique,Pelecanus erythrorhynchos,Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos
577,1260,Brown Pelican,PÈlican brun,Pelecanus occidentalis,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis
558,1280,Magnificent Frigatebird,FrÈgate superbe,Fregata magnificens,Suliformes,Fregatidae,Fregata,magnificens
74,1290,Common Merganser,Grand Harle,Mergus merganser,Anseriformes,Anatidae,Mergus,merganser
75,1300,Red-breasted Merganser,Harle huppÈ,Mergus serrator,Anseriformes,Anatidae,Mergus,serrator
73,1310,Hooded Merganser,Harle couronnÈ,Lophodytes cucullatus,Anseriformes,Anatidae,Lophodytes,cucullatus
40,1320,Mallard,Canard colvert,Anas platyrhynchos,Anseriformes,Anatidae,Anas,platyrhynchos
