Species Number,Alpha Code,Common Name,Scientific Name,T & E
10,WEGR,Western Grebe,Aechmophorus occidentalis,
11,CLGR,Clark's Grebe,Aechmophorus clarkii,
12,WCGR,Western/Clark's Grebe,,
20,RNGR,Red-necked Grebe,Podiceps grisegena,
30,HOGR,Horned Grebe,Podiceps auritus,
40,EAGR,Eared Grebe,Podiceps nigricollis,
50,LEGR,Least Grebe,Tachybaptus dominicus,
60,PBGR,Pied-billed Grebe,Podilymbus podiceps,
70,COLO,Common Loon,Gavia immer,
80,YBLO,Yellow-billed Loon,Gavia adamsii,
90,ARLO,Arctic Loon,Gavia arctica,
100,PALO,Pacific Loon,Gavia pacifica,
110,RTLO,Red-throated Loon,Gavia stellata,
120,TUPU,Tufted Puffin,Fratercula cirrhata,
130,ATPU,Atlantic Puffin,Fratercula arctica,
140,HOPU,Horned Puffin,Fratercula corniculata,
150,RHAU,Rhinoceros Auklet,Cerorhinca monocerata,
160,CAAU,Cassin's Auklet,Ptychoramphus aleuticus,
170,PAAU,Parakeet Auklet,Aethia psittacula,
180,CRAU,Crested Auklet,Aethia cristatella,
190,WHAU,Whiskered Auklet,Aethia pygmaea,
200,LEAU,Least Auklet,Aethia pusilla,
210,ANMU,Ancient Murrelet,Synthliboramphus antiquus,
230,MAMU,Marbled Murrelet,Brachyramphus marmoratus,Y
231,LBMU,Long-billed Murrelet,Brachyramphus perdix,
232,AMMU,Alaska Marbled Murrelet,Brachyramphus marmoratus,
240,KIMU,Kittlitz's Murrelet,Brachyramphus brevirostris,
250,XAMU,Xantus's Murrelet,,
251,SCMU,Scripps's Murrelet,Synthliboramphus scrippsi,
252,GUMU,Guadalupe Murrelet,Synthliboramphus hypoleucus,
260,CRMU,Craveri's Murrelet,Synthliboramphus craveri,
270,BLGU,Black Guillemot,Cepphus grylle,
290,PIGU,Pigeon Guillemot,Cepphus columba,
300,COMU,Common Murre,Uria aalge,
310,TBMU,Thick-billed Murre,Uria lomvia,
320,RAZO,Razorbill,Alca torda,
340,DOVE,Dovekie,Alle alle,
350,GRSK,Great Skua,Stercorarius skua,
352,SPSK,South Polar Skua,Stercorarius maccormicki,
360,POJA,Pomarine Jaeger,Stercorarius pomarinus,
370,PAJA,Parasitic Jaeger,Stercorarius parasiticus,
380,LTJA,Long-tailed Jaeger,Stercorarius longicaudus,
390,IVGU,Ivory Gull,Pagophila eburnea,
391,MAGU,Magellan Gull,Leucophaeus scoresbii,
400,BLKI,Black-legged Kittiwake,Rissa tridactyla,
410,RLKI,Red-legged Kittiwake,Rissa brevirostris,
420,GLGU,Glaucous Gull,Larus hyperboreus,
430,ICGU,Iceland Gull,Larus glaucoides,
431,THGU,Thayer's Gull,Larus glaucoides thayeri,
440,GWGU,Glaucous-winged Gull,Larus glaucescens,
446,HYGU,Hybrid Gull,,
470,GBBG,Great Black-backed Gull,Larus marinus,
480,SBGU,Slaty-backed Gull,Larus schistisagus,
490,WEGU,Western Gull,Larus occidentalis,
491,YFGU,Yellow-footed Gull,Larus livens,
500,LBBG,Lesser Black-backed Gull,Larus fuscus,
510,HERG,Herring Gull,Larus argentatus,
530,CAGU,California Gull,Larus californicus,
534,UNGU,Unidentified Gull,,
540,RBGU,Ring-billed Gull,Larus delawarensis,
542,BTGU,Band-tailed Gull,Larus belcheri,
550,MEGU,Mew Gull,Larus canus,
