Binomial,scientific.name,original.scientific,TrophicLevel,TrophicNiche,ForagingNiche
Abeillia_abeillei,Abeillia abeillei,,Herbivore,Nectarivore,Nectarivore aerial
Abroscopus_albogularis,Abroscopus albogularis,,Carnivore,Invertivore,Invertivore glean arboreal
Abroscopus_schisticeps,Abroscopus schisticeps,,Carnivore,Invertivore,Invertivore glean arboreal
Abroscopus_superciliaris,Abroscopus superciliaris,,Carnivore,Invertivore,Invertivore glean arboreal
Aburria_aburri,Aburria aburri,,Herbivore,Frugivore,Fugivore glean
Acanthagenys_rufogularis,Acanthagenys rufogularis,,Herbivore,Omnivore,NA
Acanthidops_bairdii,Acanthidops bairdii,,Omnivore,Invertivore,Invertivore glean arboreal
Acanthisitta_chloris,Acanthisitta chloris,,Carnivore,Invertivore,Invertivore bark
Acanthiza_apicalis,Acanthiza apicalis,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_chrysorrhoa,Acanthiza chrysorrhoa,,Carnivore,Invertivore,Invertivore ground
Acanthiza_ewingii,Acanthiza ewingii,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_inornata,Acanthiza inornata,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_iredalei,Acanthiza iredalei,,Carnivore,Invertivore,Generalist
Acanthiza_katherina,Acanthiza katherina,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_lineata,Acanthiza lineata,,Omnivore,Invertivore,Invertivore glean arboreal
Acanthiza_murina,Acanthiza murina,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_nana,Acanthiza nana,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_pusilla,Acanthiza pusilla,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_reguloides,Acanthiza reguloides,,Carnivore,Invertivore,Generalist
Acanthiza_robustirostris,Acanthiza robustirostris,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_uropygialis,Acanthiza uropygialis,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthorhynchus_superciliosus,Acanthorhynchus superciliosus,,Herbivore,Nectarivore,Nectarivore glean
Acanthorhynchus_tenuirostris,Acanthorhynchus tenuirostris,,Omnivore,Nectarivore,Nectarivore glean
Acanthornis_magna,Acanthornis magna,,Carnivore,Invertivore,Generalist
Accipiter_albogularis,Accipiter albogularis,,Carnivore,Vertivore,Vertivore perch
Accipiter_badius,Accipiter badius,,Carnivore,Vertivore,Vertivore perch
Accipiter_bicolor,Accipiter bicolor,,Carnivore,Vertivore,Vertivore perch
