species,sci_name,popest,popestlci,popestuci,first_year_popest,last_year_popest,migrate,Breeding.Biome,Winter.Biome
Abert's Towhee,Melozone aberti,890243,429538,1469410,2006,2015,R,Aridlands,Southwestern Aridlands
Acadian Flycatcher,Empidonax virescens,5227271,4728009,5829898,2006,2015,M,Eastern Forest,Mexico-Central America
Acorn Woodpecker,Melanerpes formicivorus,2226303,1452256,3390813,2006,2015,R,Western Forest,Widespread
Alder Flycatcher,Empidonax alnorum,117998630,99384651,141184247,2006,2015,M,Boreal Forest,South America
Allen's Hummingbird,Selasphorus sasin,1484682,348049,4475111,2006,2015,M,Aridlands,Mexico-Central America
American Avocet,Recurvirostra americana,450000,180000,1125000,2011,2013,M,Wetland,Widespread
American Bittern,Botaurus lentiginosus,2507797,2005616,3117498,2006,2015,M,Wetland,Temperate North America
American Black Duck,Anas rubripes,583500,500200,666800,2013,2017,M,Wetland,Temperate North America
American Coot,Fulica americana,5517522,4109506,7381712,2006,2015,M,Wetland,Widespread
American Crow,Corvus brachyrhynchos,28047630,26447403,29639378,2006,2015,M,Habitat Generalist,Temperate North America
American Dipper,Cinclus mexicanus,151919,114060,200186,2006,2015,R,Wetland,Temperate North America
American Golden-Plover,Pluvialis dominica,500000,294200,705800,2011,2013,M,Arctic Tundra,South America
American Goldfinch,Spinus tristis,44092850,41554624,46767583,2006,2015,M,Forest Generalist,Temperate North America
American Kestrel,Falco sparverius,2827776,2564206,3116508,2006,2015,M,Habitat Generalist,Widespread
American Oystercatcher,Haematopus palliatus,11000,10700,11300,2011,2013,M,Coasts,Coastal
American Pipit,Anthus rubescens,18034890,17874051,18354686,2006,2015,M,Arctic Tundra,Temperate North America
American Redstart,Setophaga ruticilla,42464674,37027311,48475245,2006,2015,M,Eastern Forest,Widespread Neotropical
American Robin,Turdus migratorius,366076928,337429985,392723825,2006,2015,M,Forest Generalist,Temperate North America
American Three-toed Woodpecker,Picoides dorsalis,1564320,1108671,2160148,2006,2015,R,Boreal Forest,Temperate North America
American Tree Sparrow,Spizelloides arborea,26412817,19492087,36200474,2006,2015,M,Arctic Tundra,Temperate North America
American White Pelican,Pelecanus erythrorhynchos,414730,299521,546711,2006,2015,M,Wetland,Temperate North America
American Wigeon,Mareca americana,2997300,2640100,3354500,2013,2017,M,Wetland,Temperate North America
American Woodcock,Scolopax minor,3500000,3000000,4000000,2011,2013,M,Eastern Forest,Temperate North America
Ancient Murrelet,Synthliboramphus antiquus,1000000,500000,1500000,1990,1992,M,Coasts,Marine
Anhinga,Anhinga anhinga,27000,20000,34000,1978,1980,M,Wetland,Widespread Neotropical
Anna's Hummingbird,Calypte anna,8772569,4880026,16549527,2006,2015,M,Aridlands,Temperate North America
Arctic Tern,Sterna paradisaea,1000000,250000,1750000,2004,2006,M,Arctic Tundra,Coastal
Arctic Warbler,Phylloscopus borealis,8201201,2638973,16439186,2006,2015,M,Arctic Tundra,Widespread
Ash-throated Flycatcher,Myiarchus cinerascens,6847348,5661743,8193398,2006,2015,M,Aridlands,Mexico-Central America
Atlantic Puffin,Fratercula arctica,375000,350000,400000,1998,2000,M,Coasts,Marine
Bachman's Sparrow,Peucaea aestivalis,167964,102917,256160,2006,2015,R,Eastern Forest,Temperate North America
Baird's Sandpiper,Calidris bairdii,300000,120000,750000,2011,2013,M,Arctic Tundra,South America
Baird's Sparrow,Centronyx bairdii,3440174,2322349,4825893,2006,2015,M,Grassland,Southwestern Aridlands
Bald Eagle,Haliaeetus leucocephalus,200000,100000,300000,2015,2017,M,Wetland,Temperate North America
Baltimore Oriole,Icterus galbula,11806532,10808329,12963225,2006,2015,M,Eastern Forest,Widespread Neotropical
Band-tailed Pigeon,Patagioenas fasciata,1455144,1049053,1990079,2006,2015,M,Western Forest,Mexico-Central America
Bank Swallow,Riparia riparia,7940368,6125188,10752527,2006,2015,M,Habitat Generalist,South America
Barn Owl,Tyto alba,130751,81975,193386,2006,2015,R,Habitat Generalist,Widespread
Barn Swallow,Hirundo rustica,46855476,43409178,50012099,2006,2015,M,Habitat Generalist,South America
Barred Owl,Strix varia,3458782,3024086,3952819,2006,2015,R,Forest Generalist,Temperate North America
Barrow's Goldeneye,Bucephala islandica,204250,102125,306375,2004,2006,M,Wetland,Temperate North America
Bay-breasted Warbler,Setophaga castanea,9892605,6894711,13872180,2006,2015,M,Boreal Forest,Mexico-Central America
Bell's Sparrow,Artemisiospiza belli,214853,89930,390058,2006,2015,M,Aridlands,Southwestern Aridlands
Bell's Vireo,Vireo bellii,4599734,3593221,5764813,2006,2015,M,Aridlands,Mexico-Central America
Belted Kingfisher,Megaceryle alcyon,1843798,1568548,2159306,2006,2015,M,Wetland,Widespread
Bendire's Thrasher,Toxostoma bendirei,56338,30887,93302,2006,2015,M,Aridlands,Southwestern Aridlands
Bewick's Wren,Thryomanes bewickii,4567446,3627322,5765670,2006,2015,R,Aridlands,Temperate North America
Black-and-white Warbler,Mniotilta varia,17709569,15812133,19681290,2006,2015,M,Eastern Forest,Widespread Neotropical
Black-backed Woodpecker,Picoides arcticus,1734181,1251409,2296411,2006,2015,R,Boreal Forest,Temperate North America
Black-bellied Plover,Pluvialis squatarola,362700,200667,541500,2011,2013,M,Arctic Tundra,Coastal
Black-billed Cuckoo,Coccyzus erythropthalmus,875781,735134,1051851,2006,2015,M,Eastern Forest,South America
